,term,TF-IDF
0,00,0.02159475032937543
1,000,0.0
2,0000,0.0
3,0007,0.0
4,00am,0.0
5,00pm,0.0
6,00pmmore,0.0
7,00pmthursdays,0.0
8,01,0.0
9,01alex,0.0
10,02,0.0
11,02cuaa,0.0
12,03,0.0
13,03winston,0.0
14,05,0.0
15,0588,0.0
16,06,0.0
17,07,0.0
18,07cuaa,0.0
19,08,0.0
20,0844,0.0
21,08nalima,0.0
22,09,0.0
23,09cuaa,0.0
24,09jessica,0.0
25,0a1,0.0
26,0c8,0.0
27,0g4,0.0
28,10,0.0
29,100,0.0
30,1000,0.0
31,1001,0.0
32,101,0.0
33,105,0.0
34,10696,0.0
35,10am,0.0
36,10cuaa,0.0
37,10umer,0.0
38,11,0.0
39,110,0.0
40,1130,0.0
41,115,0.0
42,118,0.0
43,11cuaa,0.0
44,12,0.0
45,120,0.0
46,121,0.0
47,123,0.0
48,1250,0.0
49,1253,0.0
50,12th,0.0
51,13,0.0
52,130,0.0
53,13mandy,0.0
54,14,0.0
55,1400,0.0
56,1450,0.0
57,1455,0.022044609492063633
58,14cuaa,0.0
59,15,0.0
60,150,0.0
61,1500,0.0
62,1550,0.01836811888459005
63,157,0.0
64,15cuaa,0.0
65,15current,0.0
66,15vanessa,0.0
67,16,0.0
68,160countries,0.0
69,1633,0.0
70,16cuaa,0.0
71,17,0.0
72,170,0.0
73,175,0.0
74,17catherine,0.0
75,17hussain,0.0
76,17justin,0.0
77,17molly,0.0
78,17ven,0.0
79,18,0.0
80,180,0.0
81,185,0.0
82,1870,0.0
83,19,0.008634936486332036
84,1978,0.0
85,19811,0.0
86,1990s,0.0
87,19covid,0.0
88,19find,0.0
89,19th,0.0
90,1coordinates,0.0
91,1m8,0.022292258975445498
92,1more,0.0
93,1our,0.0
94,1r2,0.0
95,1r6,0.014861505983630332
96,1st,0.0
97,1x2,0.0
98,20,0.0
99,200,0.0
100,2000,0.0
101,2001,0.0
102,2002,0.0
103,2007,0.0
104,201,0.0
105,2010,0.0
106,2011,0.0
107,2013,0.0
108,2014,0.0
109,2015,0.0
110,2016,0.0
111,2017,0.0
112,2018,0.0
113,2019,0.0
114,202,0.0
115,2020,0.0
116,2021,0.0
117,20217,0.0
118,2021early,0.0
119,2022,0.0
120,202211,0.0
121,2022undergraduate,0.0
122,2023,0.0
123,204,0.0
124,2080,0.0
125,20th,0.0
126,21,0.0
127,2101,0.0
128,2191,0.0
129,2192,0.0
130,2193,0.0
131,2194,0.0
132,22,0.0
133,2211,0.0
134,2212,0.0
135,2213,0.0
136,2214,0.0
137,227,0.0
138,23,0.0
139,230,0.0
140,236,0.0
141,24,0.0
142,2424,0.025226168938880508
143,25,0.0
144,2500,0.0
145,26,0.0
146,265,0.0
147,2668,0.0
148,27,0.0
149,2715contact,0.0
150,2797,0.0
151,28,0.0
152,2812,0.0
153,2888,0.0
154,29,0.0
155,2admissionsundergraduate,0.0
156,2student,0.0
157,2v4,0.0
158,30,0.0
159,3000,0.0
160,30am,0.0
161,30ammore,0.0
162,30pm,0.0
163,30pmwednesdays,0.0
164,31,0.0
165,3101,0.0
166,3109,0.0
167,315,0.0
168,32,0.0
169,320,0.0
170,321,0.0
171,33,0.0
172,330,0.0
173,3312,0.0
174,333,0.0
175,3333,0.0
176,3341,0.02662469174276713
177,336,0.0
178,34,0.0
179,341,0.0
180,3415,0.0
181,3510,0.0
182,3515,0.0
183,3517,0.0
184,3565,0.0
185,36,0.0
186,3628,0.0
